Term,Definition,Comments/adjustments,Source Attribution,Source Comments
Thermal Loss to Environment,The amount of energy which is not contained by a cooling solution expressed in W.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Thermal Resistance,A measure of a material's resistance to the flow of heat.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Thermocouple,A temperature sensor that measures temperature by generating a voltage proportional to the temperature difference between two different metals.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Thermodynamic Equilibrium,"The state of a system in which all macroscopic properties, such as temperature and pressure, are uniform and constant over time.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Thermoelectric Cooling,A cooling method that relies on the Peltier effect to create a temperature difference and transfer heat by using a thermoelectric device or module.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Thermosyphon,"A passive cooling system that relies on natural convection to circulate a coolant between a heat source and a heat sink, without the need for pumps or other active components.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Three-phase power,"Three-phase power is a common method of alternating current (AC) power generation, transmission, and distribution. It is a type of polyphase system and is the most common method used by electrical grids worldwide to transfer power.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
TIM (Thermal Interface Material),"Refer to ""Thermal Interface Material""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Top of Rack (ToR),"A data center design principle where each rack of servers is equipped with its own network switch, providing localized, dedicated networking resources.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
ToR (Top of Rack),"Refer to ""Top of Rack""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Total cost of ownership (TCO),"Total Cost of Ownership (TCO) is a financial estimate designed to help consumers and enterprise managers assess direct and indirect costs related to the purchase of any capital investment, such as (but not limited to) IT hardware or equipment.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Total Cost to the Environment (TCE),"A concept and metric used to assess the comprehensive environmental impact of a product, service, or operation, taking into account all relevant environmental costs from cradle to grave.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
TPIC (Two-phase Immersion Cooling),"Refer to ""Two-phase Immersion Cooling""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Turbulent Flow,"A flow regime characterized by chaotic and irregular fluid motion, which can enhance heat transfer by increasing mixing and disrupting boundary layers.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
TW (Terawatt),"Refer to ""Terawatt""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
TWh (Terawatt-hour),"Refer to ""Terawatt-hour""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Two Phase,"In the context of liquid cooling, two-phase cooling refers to a cooling method that leverages the heat-absorbing phase change from liquid to gas.
In the context of electrical power, two-phase power refers to a type of power system that uses two alternating currents (AC) that reach their peak instantaneous values sequentially.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Two-phase Immersion Cooling (2PIC),A type of immersion cooling that uses a dielectric fluid that undergoes a phase change from liquid to vapor and back to liquid as it absorbs and releases heat.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
UL (Underwriters Laboratories),"Refer to ""Underwriters Laboratories""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
UN (United Nations),"Refer to ""United Nations""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Underclocking,The practice of reducing the operating frequency of a processor or other electronic component below its designed operating parameters to decrease power consumption and heat output.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Underwriters Laboratories (UL),"Globally recognized, independent safety science company that conducts testing-inspection-certification (TIC) services, safety science research, and standard development activities.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Uninterruptible power supply (UPS),A device that provides emergency power to a load when the primary power sources fail to deliver reliable power.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
United Nations (UN),"The United Nations (UN) is an international organization, composed of 193 member states and is committed to maintaining international peace and security, developing friendly relations among nations, promoting social progress, better living standards, and human rights.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
United States Securities and Exchange Commission (SEC),"A large independent agency of the United States federal government and enforces the law against market manipulation and provides companies with rules for issuing shares and requires them to disclose meaningful financial and other information eg. ESG to the public to allow investors to make informed decisions about whether to buy, sell, or hold a particular security.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
UPS (Uninterruptible power supply),"Refer to ""Uninterruptible power supply""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
UTC (Coordinated Universal Time),"Refer to ""Coordinated Universal Time""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
V (Volt),"Refer to ""Volt""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Vapor,A substance in the gas phase at a temperature lower than its critical point.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Vapor Pressure,The pressure exerted by a vapor in equilibrium with its corresponding liquid or solid at a given temperature.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Vapor Quality,"The mass fraction of vapor in a two-phase mixture, such as the vapor and liquid phases of a dielectric coolant in a two-phase immersion cooling system.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Variable Frequency Drive (VFD),A device that controls the speed and torque of an electric motor by varying the frequency of the electrical power supplied to it.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
VFD (Variable Frequency Drive),"Refer to ""Variable Frequency Drive""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Viscosity,"A measure of a fluid's resistance to flow, which involves its resistance to deformation under the influence of a force.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Volatile organic compound (VOC),Organic compounds that have low boiling points correlating to higher amount of vaporization,,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: OCP Safe Handling Guidelines for Immersion Fluids draft 12/1/23 by PC
Volt (V),The volt is the International System of Units (SI) measure of electric potential or electromotive force.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Voltage Regulator (VR),A system designed to automatically maintain a constant voltage level.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Volumetric expansion,A coefficient of thermal expansion. The rate of expansion of a material with a 1°K temperature increase.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
VR (Voltage Regulator),"Refer to ""Voltage Regulator""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
W (Watt),"Refer to ""Watt""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Warrantied Product,A product that is covered by a warranty.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: OCP CE IM Warranty Guidelines v1.04
Warrantor,"The entity (individual or company) that provides a warranty statement. In the context of a product or service, the warrantor offers assurance that a product and/or service will meet certain documented standards or that it will perform as described.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: OCP CE IM Warranty Guidelines v1.04
Warranty,"A written promise from a company to repair or replace a Product that develops a fault within a particular period of time, or to do a piece of work again if it is not satisfactory.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: OCP CE IM Warranty Guidelines v1.04
Warranty Period,The period of time during which the warrantor is liable for repair or replacement of any defective part of the Warrantied Product as performed under the Sales Contract.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: OCP CE IM Warranty Guidelines v1.04
Warranty Statement,"Any written statement provided by Seller to the purchasers of products manufactured by Seller, setting forth warranties, guaranties, rights of return, rights of credit, exclusions or other indemnities issued in respect of such manufactured products. ",,Open Compute Project Immersion Glossary. Version 1.1. 2024,Source: OCP CE IM Warranty Guidelines v1.04
Water Cooling,A method of cooling electronic components by circulating water or a water-based coolant in direct contact with the components to absorb and transfer heat away from them.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Water Usage Effectiveness (WUE),"A metric used in the data center industry to assess the efficiency of water usage. It is calculated by dividing the total amount of water used by a data center (including cooling systems, humidification, and other building needs) by the amount of energy consumed by the IT equipment.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Watt (W),A watt is an SI unit of power representing 1 joule per second.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
WBT (Wet-Bulb Temperature),"Refer to ""Wet-Bulb Temperature""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Wetted Surface Area,The surface area of a component that is in direct contact with a coolant.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
Workload,"The amount of processing or computational tasks performed by a system or component, which can affect its thermal output and cooling requirements.",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
World Semiconductor Council (WSC),A global body composed of the leading semiconductor industry associations from around the world.,,Open Compute Project Immersion Glossary. Version 1.1. 2024,
WSC (World Semiconductor Council),"Refer to ""World Semiconductor Council""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
WUE (Water Usage Effectiveness),"Refer to ""Water Usage Effectiveness""",,Open Compute Project Immersion Glossary. Version 1.1. 2024,
